group,left,right,observable,method,timeSemantics,verdict,exitCode,leftReducedStates,rightReducedStates,bestWallClockMillis
tiny,tiny.statespace,tiny-mutant.statespace,poll,union,unit,no,1,,,88.0
tiny,tiny.statespace,tiny-mutant.statespace,poll,union,strict,no,1,,,81.9
tiny,tiny.statespace,tiny-mutant.statespace,poll,reduced-iso,unit,no,1,5,7,90.2
tiny,tiny.statespace,tiny-mutant.statespace,poll,reduced-iso,strict,no,1,5,5,93.6
tiny,tiny.statespace,tiny-mutant.statespace,poll,reduced-iso-spliced,unit,no,1,2,4,96.8
tiny,tiny.statespace,tiny-mutant.statespace,poll,reduced-iso-spliced,strict,no,1,4,4,107.0
tiny,tiny.statespace,tiny.statespace,poll,union,unit,yes,0,,,86.8
tiny,tiny.statespace,tiny.statespace,poll,union,strict,yes,0,,,83.5
tiny,tiny.statespace,tiny.statespace,poll,reduced-iso,unit,yes,0,5,5,109.1
tiny,tiny.statespace,tiny.statespace,poll,reduced-iso,strict,yes,0,5,5,98.3
tiny,tiny.statespace,tiny.statespace,poll,reduced-iso-spliced,unit,yes,0,2,2,96.8
tiny,tiny.statespace,tiny.statespace,poll,reduced-iso-spliced,strict,yes,0,4,4,96.8
